16	0
22	0
41	0
43	0
46	0
55	0
63	0
66	0
76	0
2	1
14	1
20	1
37	1
41	1
44	1
45	1
45	1
52	1
58	1
59	1
61	1
61	1
63	1
65	1
67	1
71	1
73	1
85	1
0	2
30	2
35	2
41	2
47	2
54	2
56	2
61	2
62	2
68	2
71	2
79	2
28	3
32	3
33	3
37	3
40	3
44	3
50	3
53	3
54	3
61	3
73	3
75	3
75	3
76	3
85	3
86	3
3	4
5	4
12	4
20	4
21	4
21	4
24	4
27	4
37	4
42	4
42	4
44	4
52	4
52	4
53	4
54	4
59	4
61	4
62	4
67	4
83	4
11	5
16	5
27	5
30	5
31	5
33	5
36	5
44	5
44	5
48	5
61	5
63	5
68	5
69	5
76	5
96	5
3	6
10	6
20	6
22	6
29	6
39	6
44	6
47	6
51	6
53	6
59	6
92	6
12	7
20	7
21	7
23	7
28	7
38	7
38	7
38	7
39	7
42	7
42	7
56	7
58	7
58	7
59	7
60	7
61	7
61	7
67	7
72	7
78	7
81	7
88	7
13	8
13	8
19	8
29	8
40	8
41	8
47	8
48	8
49	8
55	8
62	8
64	8
64	8
65	8
65	8
66	8
68	8
69	8
77	8
94	8
5	9
16	9
32	9
35	9
35	9
42	9
51	9
65	9
65	9
66	9
74	9
11	10
25	10
37	10
41	10
44	10
45	10
46	10
46	10
47	10
53	10
57	10
64	10
71	10
87	10
93	10
21	11
26	11
35	11
44	11
53	11
57	11
57	11
66	11
67	11
69	11
77	11
31	12
32	12
33	12
34	12
41	12
44	12
49	12
49	12
50	12
60	12
72	12
25	13
42	13
44	13
56	13
59	13
62	13
63	13
68	13
89	13
96	13
13	14
26	14
31	14
38	14
42	14
45	14
48	14
50	14
59	14
60	14
63	14
77	14
91	14
94	14
8	15
15	15
21	15
34	15
38	15
51	15
60	15
71	15
73	15
82	15
84	15
94	15
5	16
8	16
9	16
27	16
31	16
40	16
43	16
44	16
49	16
50	16
53	16
54	16
60	16
69	16
73	16
75	16
76	16
80	16
86	16
20	17
29	17
30	17
32	17
38	17
40	17
53	17
64	17
76	17
81	17
93	17
30	18
32	18
35	18
38	18
44	18
47	18
50	18
53	18
56	18
61	18
65	18
69	18
76	18
85	18
3	19
8	19
13	19
22	19
31	19
35	19
38	19
38	19
48	19
55	19
57	19
73	19
75	19
10	20
17	20
17	20
21	20
46	20
47	20
47	20
48	20
50	20
54	20
63	20
63	20
64	20
68	20
74	20
11	21
20	21
21	21
26	21
30	21
31	21
35	21
40	21
42	21
42	21
43	21
44	21
52	21
55	21
56	21
59	21
66	21
73	21
73	21
78	21
86	21
92	21
95	21
97	21
5	22
9	22
20	22
21	22
24	22
27	22
42	22
58	22
74	22
76	22
48	23
49	23
53	23
55	23
56	23
67	23
84	23
11	24
11	24
15	24
18	24
18	24
20	24
25	24
30	24
31	24
34	24
40	24
42	24
48	24
48	24
49	24
50	24
61	24
65	24
67	24
71	24
73	24
82	24
87	24
87	24
32	25
37	25
41	25
47	25
48	25
50	25
54	25
56	25
61	25
74	25
84	25
98	25
31	26
35	26
36	26
39	26
39	26
43	26
44	26
52	26
57	26
65	26
70	26
76	26
78	26
86	26
1	27
28	27
31	27
33	27
40	27
46	27
47	27
49	27
50	27
53	27
57	27
66	27
71	27
72	27
11	28
28	28
38	28
47	28
62	28
72	28
76	28
83	28
12	29
28	29
29	29
43	29
47	29
48	29
53	29
54	29
55	29
57	29
62	29
76	29
88	29
93	29
12	30
24	30
25	30
31	30
38	30
42	30
49	30
49	30
51	30
55	30
65	30
81	30
86	30
86	30
98	30
1	31
3	31
7	31
34	31
45	31
53	31
55	31
56	31
62	31
67	31
72	31
73	31
73	31
88	31
91	31
32	32
34	32
37	32
38	32
41	32
42	32
48	32
59	32
60	32
62	32
68	32
70	32
78	32
82	32
90	32
0	33
2	33
5	33
12	33
16	33
22	33
24	33
31	33
36	33
37	33
39	33
39	33
40	33
50	33
52	33
53	33
61	33
61	33
65	33
66	33
68	33
92	33
93	33
98	33
